,date,information,related
47,2022-12-12,"Headline: Xcel Energy Is A Wickedly Cool Dividend Stock, source:SeekingAlpha, summary: Xcel Energy is one of the most consistent and reliable holdings. See why I think XEL is a great dividend stock., Headline: Xcel Energy Inc. stock rises Monday, outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. advanced 2.51% to $71.59 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",XEL
48,2022-12-13,"Headline: Xcel Energy Reaches Analyst Target Price, source:ETF Channel, summary: No summary, Headline: Xcel Energy Inc. stock rises Tuesday, still underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. inched 0.01% higher to $71.60 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",XEL
49,2022-12-14,"Headline: Xcel Energy declares $0.4875 dividend, source:Seeking Alpha, summary: No summary, Headline: Xcel Energy price target raised to $76 from $69 at Wells Fargo, source:Thefly.com, summary: No summary, Headline: Xcel Energy Inc. stock outperforms market despite losses on the day, source:MarketWatch, summary: Shares of Xcel Energy Inc. slid 0.49% to $71.25 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500..., Headline: Xcel Energy Inc. Board Declares Dividend on Common Stock, source:Yahoo, summary: MINNEAPOLIS, December 14, 2022--The Board of Directors of Xcel Energy Inc. (NASDAQ: XEL) today declared a quarterly dividend on its common stock of 48.75 cents per share. The dividends are payable January 20, 2023, to shareholders of record on December 29, 2022.",XEL
50,2022-12-15,"Headline: Morgan Stanley Remains a Hold on Xcel Energy (XEL), source:TipRanks, summary: No summary, Headline: Xcel Energy Inc. stock falls Thursday, still outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. sank 0.88% to $70.62 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500..., Headline: A Look At The Fair Value Of Xcel Energy Inc. (NASDAQ:XEL), source:Yahoo, summary: How far off is Xcel Energy Inc. ( NASDAQ:XEL ) from its intrinsic value? Using the most recent financial data, we'll...",XEL
51,2022-12-16,"Headline: US Grid Faces a New Threat as Regulators Balk at Higher Bills, source:Yahoo, summary: (Bloomberg) -- As Americans grapple with surging home energy bills, state regulators are starting to take a harder line on utilities proposing to hike household electricity rates.Most Read from BloombergTrump Hawks Superhero NFT Trading Cards as Crypto Universe ImplodesCovid Unleashed in Beijing Shows Rest of China What’s NextWorld’s Largest Hotel Aquarium Bursts Spilling 1,500 FishAccountant That Vetted Binance Reserves Halts Crypto WorkRegulators in at least three Midwest states are already bl, Headline: Xcel Energy Inc. stock outperforms competitors despite losses on the day, source:MarketWatch, summary: Shares of Xcel Energy Inc. sank 0.99% to $69.92 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",XEL
52,2022-12-19,"Headline: Xcel Energy Inc. stock falls Monday, still outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. dropped 0.74% to $69.40 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",XEL
53,2022-12-20,"Headline: FUTY: Utilities Dashboard For December, source:SeekingAlpha, summary: FUTY is a good instrument with cheap fees for investors seeking capital-weighted exposure in utilities. Read why XLU is a better choice for tactical allocation and trading., Headline: Xcel Energy Inc. stock rises Tuesday, outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. inched 0.13% higher to $69.49 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",XEL
54,2022-12-21,"Headline: Xcel Energy Inc. stock rises Wednesday, still underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. rose 1.32% to $70.41 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500..., Headline: Google, Xcel call off $600M data center deal in Becker, Minnesota, source:Yahoo, summary: Xcel Energy Inc. told regulators that it has terminated a deal with an affiliate of Google to build a large data center on Xcel land in Becker. The plan had been in the works — though on the back burner — since 2019.",XEL
55,2022-12-22,"Headline: Quanta Services Selected for Colorado's Power Pathway Transmission Project, source:Yahoo, summary: Quanta Services, Inc. (NYSE: PWR) announced today that it has been selected by Xcel Energy as its prime constructor to manage all construction activities for the Colorado's Power Pathway high-voltage electric transmission project in Colorado. Quanta's scope of work on the project consists of the construction of approximately 610 miles of 345 kV transmission infrastructure, consisting of up to six segments and spanning more than a dozen counties, primarily in eastern Colorado, and includes the in, Headline: Xcel Energy Inc. stock falls Thursday, still outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. dropped 0.54% to $70.03 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500..., Headline: Xcel Energy (XEL) Presents at 2022 EEI Financial Conference - Slideshow, source:SeekingAlpha, summary: The following slide deck was published by Xcel Energy Inc., Headline: Xcel Energy (XEL) Shares Cross Above 200 DMA, source:Energy Stock Channel, summary: No summary",XEL
56,2022-12-23,"Headline: Xcel Energy Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of Xcel Energy Inc. rose 1.29% to $70.93 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index..., Headline: Quanta (PWR) Wins Renewable Energy Contract From Xcel Energy, source:Yahoo, summary: Quanta's (PWR) recent win will increase the reliability of the state's power grid and enable future renewable energy development in Colorado.",XEL
57,2022-12-25,"Headline: Dividend Champion, Contender, And Challenger Highlights: Week Of December 25, source:Seeking Alpha, summary: No summary",XEL
58,2022-12-27,"Headline: Xcel Energy Inc. stock rises Tuesday, outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. inched 0.90% higher to $71.57 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the Dow..., Headline: Xcel Energy Moves Up In Market Cap Rank, Passing Trane Technologies, source:The Online Investor, summary: No summary",XEL
59,2022-12-28,"Headline: Xcel Energy Inc. stock falls Wednesday, still outperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. shed 0.72% to $70.57 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",XEL
60,2022-12-29,"Headline: Xcel Energy Inc. stock rises Thursday, still underperforms market, source:MarketWatch, summary: Shares of Xcel Energy Inc. inched 0.71% higher to $71.07 Thursday, on what proved to be an all-around great trading session for the stock market, with the..., Headline: Some Investors May Be Worried About Xcel Energy's (NASDAQ:XEL) Returns On Capital, source:Yahoo, summary: If we want to find a stock that could multiply over the long term, what are the underlying trends we should look for..., Headline: Renewable projects to dominate Colorado's energy plans in 2023, source:Yahoo, summary: Utilities will select solar, wind and other renewable energy projects to replace the companies' coal-burning in Colorado. But prices are on the rise.",XEL
